  100   100   100 0.000282 7.090962
  100   100   100 0.000286 6.996337
  100   100   100 0.000297 6.732430
  100   100   100 0.000298 6.710886
  100   100   100 0.000294 6.803413
  100   100   100 0.000289 6.921294
  100   100   100 0.000295 6.781413
  100   100   100 0.000279 7.169750
  100   100   100 0.000300 6.668210
  100   100   100 0.000298 6.710886
  200   200   200 0.001658 9.650397
  200   200   200 0.001648 9.709037
  200   200   200 0.000640 25.003303
  200   200   200 0.001647 9.714659
  200   200   200 0.000927 17.260510
  200   200   200 0.000646 24.763418
  200   200   200 0.001640 9.755613
  200   200   200 0.001639 9.761289
  200   200   200 0.001580 10.126583
  200   200   200 0.001588 10.076406
  300   300   300 0.004441 12.159361
  300   300   300 0.004011 13.462459
  300   300   300 0.002402 22.482868
  300   300   300 0.004680 11.538663
  300   300   300 0.004777 11.304273
  300   300   300 0.004723 11.433237
  300   300   300 0.004708 11.470294
  300   300   300 0.004358 12.390854
  300   300   300 0.004683 11.531026
  300   300   300 0.004706 11.474943
  400   400   400 0.005193 24.648589
  400   400   400 0.004165 30.732779
  400   400   400 0.004186 30.576997
  400   400   400 0.004524 28.293592
  400   400   400 0.004479 28.578245
  400   400   400 0.004213 30.381467
  400   400   400 0.004331 29.555239
  400   400   400 0.004201 30.469405
  400   400   400 0.004211 30.396949
  400   400   400 0.007229 17.706240
  500   500   500 0.008342 29.969590
  500   500   500 0.008165 30.618040
  500   500   500 0.010606 23.571981
  500   500   500 0.008071 30.975304
  500   500   500 0.008095 30.884072
  500   500   500 0.008187 30.536898
  500   500   500 0.008027 31.144588
  500   500   500 0.008757 28.548217
  500   500   500 0.008586 29.117405
  500   500   500 0.008927 28.004594
  600   600   600 0.013939 30.992394
  600   600   600 0.013967 30.929967
  600   600   600 0.013970 30.923633
  600   600   600 0.014000 30.857277
  600   600   600 0.013916 31.043368
  600   600   600 0.014148 30.533843
  600   600   600 0.013846 31.200526
  600   600   600 0.013986 30.887786
  600   600   600 0.013943 30.982855
  600   600   600 0.014116 30.603465
  700   700   700 0.022057 31.101158
  700   700   700 0.021555 31.825641
  700   700   700 0.021782 31.494008
  700   700   700 0.021433 32.006547
  700   700   700 0.022000 31.181713
  700   700   700 0.021293 32.217274
  700   700   700 0.021887 31.343056
